Código,SKU,Descripción,Descripción ampliada,Tipo de producto/servicio,Importe de compra,Importe de venta
379,,SKARCHITOS 240GRS,,Productos ,"$ 919,34","$1.112,40 "
512,,SKARCHITOS 3400 GRS,,Productos ,"$ 10.319,17","$12.486,19 "
133,,GRISSINOPOLI MALTEADOS 180GRS,,Productos ,"$ 633,96","$767,09 "
132,,GRISSINOPOLI SALVADO 180GRS,,Productos ,"$ 633,96","$767,09 "
836,,ALF. GUAYMALLEN DE ORO 48GRS,,Productos ,"$ 334,62","$404,89 "
973,,ALF. GUAYMALLEN PLATINO 50GRS BLANCO,,Productos ,"$ 479,18","$579,81 "
321,,ALFAJOR GUAYMALLEN BLANCO SIMPLE,,Productos ,"$ 182,79","$221,18 "
125,,ALFAJOR GUAYMALLEN FRUTA SIMPLE,,Productos ,"$ 31,46","$38,06 "
126,,ALFAJOR GUAYMALLEN NEGRO SIMPLE,,Productos ,"$ 182,79","$221,18 "
952,,GUAYMALLEN SIMPLE SIN CARGO,,Productos ,"$ 172,39","$208,59 "
124,,GUAYMALLEN TRIPLE BLANCO 70GRS,,Productos ,"$ 304,65","$368,63 "
334,,GUAYMALLEN TRIPLE FRUTA 70GRS,,Productos ,"$ 304,65","$368,63 "
320,,GUAYMALLEN TRIPLE NEGRO 70GRS,,Productos ,"$ 304,65","$368,63 "
484,,ENCENDEDORES CANDELA 25U,,Productos ,"$ 5.159,21","$6.242,65 "
427,,LAMPARAS LEDS 12W,,Productos ,"$ 861,82","$1.042,80 "
425,,LAMPARAS LEDS 7W,,Productos ,"$ 660,53","$799,24 "
